Description,DamageType,DamageDice,MonsterId,ActionId
Melee Weapon Attack: +11 to hit reach 15 ft. one target. Hit: 15 (2d8 + 6) bludgeoning damage.,Bludgeoning,2d8+6,3,3
Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it the creature is immune to the dragon's Frightful Presence for the next 24 hours.,,,3,8
The dragon exhales acid in a 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw taking 54 (12d8) acid damage on a failed save or half as much damage on a successful one.,Acid,12d8,3,9
The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,4,1
Melee Weapon Attack: +12 to hit reach 10 ft. one target. Hit: 18 (2d10 + 7) piercing damage plus 5 (1d10) lightning damage.,Piercing,2d10+7,4,6
Melee Weapon Attack: +12 to hit reach 10 ft. one target. Hit: 18 (2d10 + 7) piercing damage plus 5 (1d10) lightning damage.,Lightning,1d10,4,6
Melee Weapon Attack: +12 to hit reach 5 ft. one target. Hit: 14 (2d6 + 7) slashing damage.,Slashing,2d6+7,4,7
Melee Weapon Attack: +12 to hit reach 15 ft. one target. Hit: 16 (2d8 + 7) bludgeoning damage.,Bludgeoning,2d8+7,4,3
Each creature of the dragon's choice that is within 120 ft. of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it the creature is immune to the dragon's Frightful Presence for the next 24 hours.,,,4,8
The dragon exhales lightning in a 90-foot line that is 5 ft. wide. Each creature in that line must make a DC 19 Dexterity saving throw taking 66 (12d10) lightning damage on a failed save or half as much damage on a successful one.,Lightning,12d10,4,10
The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,5,1
Melee Weapon Attack: +11 to hit reach 10 ft. one target. Hit: 17 (2d10 + 6) piercing damage.,Piercing,2d10+6,5,6
Melee Weapon Attack: +11 to hit reach 5 ft. one target. Hit: 13 (2d6 + 6) slashing damage.,Slashing,2d6+6,5,7
Melee Weapon Attack: +11 to hit reach 15 ft. one target. Hit: 15 (2d8 + 6) bludgeoning damage.,Bludgeoning,2d8+6,5,3
Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it the creature is immune to the dragon's Frightful Presence for the next 24 hours .,,,5,8
"The dragon uses one of the following breath weapons.
Fire Breath. The dragon exhales fire in an 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw taking 45 (13d6) fire damage on a failed save or half as much damage on a successful one.
Sleep Breath. The dragon exhales sleep gas in a 60-foot cone. Each creature in that area must succeed on a DC 18 Constitution saving throw or fall unconscious for 10 minutes. This effect ends for a creature if the creature takes damage or someone uses an action to wake it.",,,5,11
The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,6,1
Melee Weapon Attack: +12 to hit reach 10 ft. one target. Hit: 18 (2d10 + 7) piercing damage.,Piercing,2d10+7,6,6
Melee Weapon Attack: +12 to hit reach 5 ft. one target. Hit: 14 (2d6 + 7) slashing damage.,Slashing,2d6+7,6,7
Melee Weapon Attack: +12 to hit reach 15 ft. one target. Hit: 16 (2d8 + 7) bludgeoning damage.,Bludgeoning,2d8+7,6,3
Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it the creature is immune to the dragon's Frightful Presence for the next 24 hours.,,,6,8
"The dragon uses one of the following breath weapons.
Lightning Breath. The dragon exhales lightning in a 90-foot line that is 5 feet wide. Each creature in that line must make a DC 19 Dexterity saving throw taking 66 (12d10) lightning damage on a failed save or half as much damage on a successful one.
Repulsion Breath. The dragon exhales repulsion energy in a 30-foot cone. Each creature in that area must succeed on a DC 19 Strength saving throw. On a failed save the creature is pushed 60 feet away from the dragon.",,,6,11
The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,7,1
Melee Weapon Attack: +11 to hit reach 10 ft. one target. Hit: 17 (2d10 + 6) piercing damage.,Piercing,2d10+6,7,6
Melee Weapon Attack: +11 to hit reach 5 ft. one target. Hit: 13 (2d6 + 6) slashing damage.,Slashing,2d6+6,7,7
Melee Weapon Attack: +11 to hit reach 15 ft. one target. Hit: 15 (2d8 + 6) bludgeoning damage.,Bludgeoning,2d8+6,7,3
Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it the creature is immune to the dragon's Frightful Presence for the next 24 hours.,,,7,8
"The dragon uses one of the following breath weapons.
Acid Breath. The dragon exhales acid in an 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw taking 54 (12d8) acid damage on a failed save or half as much damage on a successful one.
Slowing Breath. The dragon exhales gas in a 60-foot cone. Each creature in that area must succeed on a DC 18 Constitution saving throw. On a failed save the creature can't use reactions its speed is halved and it can't make more than one attack on its turn. In addition the creature can use either an action or a bonus action on its turn but not both. These effects last for 1 minute. The creature can repeat the saving throw at the end of each of its turns ending the effect on itself with a successful save.",,,7,11
The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,8,1
Melee Weapon Attack: +14 to hit reach 10 ft. one target. Hit: 19 (2d10 + 8) piercing damage.,Piercing,2d10+8,8,6
Melee Weapon Attack: +14 to hit reach 5 ft. one target. Hit: 15 (2d6 + 8) slashing damage.,Slashing,2d6+8,8,7
Melee Weapon Attack: +14 to hit reach 15 ft. one target. Hit: 17 (2d8 + 8) bludgeoning damage.,Bludgeoning,2d8+8,8,3
Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 21 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it the creature is immune to the dragon's Frightful Presence for the next 24 hours.,,,8,8
"The dragon uses one of the following breath weapons.
Fire Breath. The dragon exhales fire in a 60-foot cone. Each creature in that area must make a DC 21 Dexterity saving throw taking 66 (12d10) fire damage on a failed save or half as much damage on a successful one.
Weakening Breath. The dragon exhales gas in a 60-foot cone. Each creature in that area must succeed on a DC 21 Strength saving throw or have disadvantage on Strength-based attack rolls Strength checks and Strength saving throws for 1 minute. A creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success.",,,8,11
The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,9,1
Melee Weapon Attack: +11 to hit reach 10 ft. one target. Hit: 17 (2d10 + 6) piercing damage plus 7 (2d6) poison damage.,Piercing,2d10+6,9,6
Melee Weapon Attack: +11 to hit reach 10 ft. one target. Hit: 17 (2d10 + 6) piercing damage plus 7 (2d6) poison damage.,Poison,2d6,9,6
Melee Weapon Attack: +11 to hit reach 5 ft. one target. Hit: 13 (2d6 + 6) slashing damage.,Slashing,2d6+6,9,7
Melee Weapon Attack: +11 to hit reach 15 ft. one target. Hit: 15 (2d8 + 6) bludgeoning damage.,Bludgeoning,2d8+6,9,3
Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it the creature is immune to the dragon's Frightful Presence for the next 24 hours .,,,9,8
The dragon exhales poisonous gas in a 60-foot cone. Each creature in that area must make a DC 18 Constitution saving throw taking 56 (16d6) poison damage on a failed save or half as much damage on a successful one.,Poison,16d6,9,12
The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,10,1
Melee Weapon Attack: +14 to hit reach 10 ft. one target. Hit: 19 (2d10 + 8) piercing damage plus 7 (2d6) fire damage.,Piercing,2d10+8,10,6
Melee Weapon Attack: +14 to hit reach 10 ft. one target. Hit: 19 (2d10 + 8) piercing damage plus 7 (2d6) fire damage.,Fire,2d6,10,6
Melee Weapon Attack: +14 to hit reach 5 ft. one target. Hit: 15 (2d6 + 8) slashing damage.,Slashing,2d6+8,10,7
Melee Weapon Attack: +14 to hit reach 15 ft. one target. Hit: 17 (2d8 + 8) bludgeoning damage.,Bludgeoning,2d8+8,10,3
Each creature of the dragon's choice that is within 120 ft. of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it the creature is immune to the dragon's Frightful Presence for the next 24 hours.,,,10,8
The dragon exhales fire in a 60-foot cone. Each creature in that area must make a DC 21 Dexterity saving throw taking 63 (18d6) fire damage on a failed save or half as much damage on a successful one.,Fire,18d6,10,13
The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,11,1
Melee Weapon Attack: +13 to hit reach 10 ft. one target. Hit: 19 (2d10 + 8) piercing damage.,Piercing,2d10+8,11,6
Melee Weapon Attack: +13 to hit reach 5 ft. one target. Hit: 15 (2d6 + 8) slashing damage.,Slashing,2d6+8,11,7
Melee Weapon Attack: +13 to hit reach 15 ft. one target. Hit: 17 (2d8 + 8) bludgeoning damage.,Bludgeoning,2d8+8,11,3
Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 18 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it the creature is immune to the dragon's Frightful Presence for the next 24 hours.,,,11,8
"The dragon uses one of the following breath weapons.
Cold Breath. The dragon exhales an icy blast in a 60-foot cone. Each creature in that area must make a DC 20 Constitution saving throw taking 58 (13d8) cold damage on a failed save or half as much damage on a successful one.
Paralyzing Breath. The dragon exhales paralyzing gas in a 60-foot cone. Each creature in that area must succeed on a DC 20 Constitution saving throw or be paralyzed for 1 minute. A creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success.",,,11,11
The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,12,1
Melee Weapon Attack: +11 to hit reach 10 ft. one target. Hit: 17 (2d10 + 6) piercing damage plus 4 (1d8) cold damage.,Piercing,2d10+6,12,6
Melee Weapon Attack: +11 to hit reach 10 ft. one target. Hit: 17 (2d10 + 6) piercing damage plus 4 (1d8) cold damage.,Cold,1d8,12,6
Melee Weapon Attack: +11 to hit reach 5 ft. one target. Hit: 13 (2d6 + 6) slashing damage.,Slashing,2d6+6,12,7
Melee Weapon Attack: +11 to hit reach 15 ft. one target. Hit: 15 (2d8 + 6) bludgeoning damage.,Bludgeoning,2d8+6,12,3
Each creature of the dragon's choice that is within 120 ft. of the dragon and aware of it must succeed on a DC 14 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it the creature is immune to the dragon's Frightful Presence for the next 24 hours.,,,12,8
The dragon exhales an icy blast in a 60-foot cone. Each creature in that area must make a DC 19 Constitution saving throw taking 54 (12d8) cold damage on a failed save or half as much damage on a successful one.,Cold,12d8,12,14
The elemental makes two slam attacks.,,,13,1
Melee Weapon Attack: +8 to hit reach 5 ft. one target. Hit: 14 (2d8 + 5) bludgeoning damage.,Bludgeoning,2d8+5,13,15
"Each creature in the elemental's space must make a DC 13 Strength saving throw. On a failure a target takes 15 (3d8 + 2) bludgeoning damage and is flung up 20 feet away from the elemental in a random direction and knocked prone. If a thrown target strikes an object such as a wall or floor the target takes 3 (1d6) bludgeoning damage for every 10 feet it was thrown. If the target is thrown at another creature that creature must succeed on a DC 13 Dexterity saving throw or take the same damage and be knocked prone.
If the saving throw is successful the target takes half the bludgeoning damage and isn't flung away or knocked prone.",,,13,16
The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,14,1
Melee Weapon Attack:+ 15 to hit reach 15 ft. one target. Hit: 19 (2d10 + 8) piercing damage plus 9 (2d8) acid damage.,Piercing,2d10+8,14,6
Melee Weapon Attack:+ 15 to hit reach 15 ft. one target. Hit: 19 (2d10 + 8) piercing damage plus 9 (2d8) acid damage.,Acid,2d8,14,6
Melee Weapon Attack: +15 to hit reach 10 ft. one target. Hit: 15 (2d6 + 8) slashing damage.,Slashing,2d6+8,14,7
Melee Weapon Attack: +15 to hit reach 20 ft. one target. Hit: 17 (2d8 + 8) bludgeoning damage.,Bludgeoning,2d8+8,14,3
Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it the creature is immune to the dragon's Frightful Presence for the next 24 hours.,,,14,8
The dragon exhales acid in a 90-foot line that is 10 feet wide. Each creature in that line must make a DC 22 Dexterity saving throw taking 67 (15d8) acid damage on a failed save or half as much damage on a successful one.,Acid,15d8,14,9
The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,15,1
Melee Weapon Attack: +16 to hit reach 15 ft. one target. Hit: 20 (2d10 + 9) piercing damage plus 11 (2d10) lightning damage.,Piercing,2d10+9,15,6
Melee Weapon Attack: +16 to hit reach 15 ft. one target. Hit: 20 (2d10 + 9) piercing damage plus 11 (2d10) lightning damage.,Lightning,2d10,15,6
Melee Weapon Attack: +16 to hit reach 10 ft. one target. Hit: 16 (2d6 + 9) slashing damage.,Slashing,2d6+9,15,7
Melee Weapon Attack: +16 to hit reach 20 ft. one target. Hit: 18 (2d8 + 9) bludgeoning damage.,Bludgeoning,2d8+9,15,3
Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 20 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it the creature is immune to the dragon's Frightful Presence for the next 24 hours.,,,15,8
The dragon exhales lightning in a 120-foot line that is 10 feet wide. Each creature in that line must make a DC 23 Dexterity saving throw taking 88 (16d10) lightning damage on a failed save or half as much damage on a successful one.,Lightning,16d10,15,10
The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,16,1
Melee Weapon Attack: +14 to hit reach 15 ft. one target. Hit: 19 (2d10 + 8) piercing damage.,Piercing,2d10+8,16,6
Melee Weapon Attack: +14 to hit reach 10 ft. one target. Hit: 15 (2d6 + 8) slashing damage.,Slashing,2d6+8,16,7
Melee Weapon Attack: +14 to hit reach 20 ft. one target. Hit: 17 (2d8 + 8) bludgeoning damage.,Bludgeoning,2d8+8,16,3
Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 18 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it the creature is immune to the dragon's Frightful Presence for the next 24 hours.,,,16,8
"The dragon uses one of the following breath weapons:
Fire Breath. The dragon exhales fire in an 90-foot line that is 10 feet wide. Each creature in that line must make a DC 21 Dexterity saving throw taking 56 (16d6) fire damage on a failed save or half as much damage on a successful one.
Sleep Breath. The dragon exhales sleep gas in a 90-foot cone. Each creature in that area must succeed on a DC 21 Constitution saving throw or fall unconscious for 10 minutes. This effect ends for a creature if the creature takes damage or someone uses an action to wake it.",,,16,11
"The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice).
In a new form the dragon retains its alignment hit points Hit Dice ability to speak proficiencies Legendary Resistance lair actions and Intelligence Wisdom and Charisma scores as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form except any class features or legendary actions of that form.",,,16,17
The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,17,1
Melee Weapon Attack: +16 to hit reach 15 ft. one target. Hit: 20 (2d10 + 9) piercing damage.,Piercing,2d10+9,17,6
Melee Weapon Attack: +16 to hit reach 10 ft. one target. Hit: 16 (2d6 + 9) slashing damage.,Slashing,2d6+9,17,7
Melee Weapon Attack: +16 to hit reach 20 ft. one target. Hit: 18 (2d8 + 9) bludgeoning damage.,Bludgeoning,2d8+9,17,3
Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 20 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it the creature is immune to the dragon's Frightful Presence for the next 24 hours.,,,17,8
"The dragon uses one of the following breath weapons.
Lightning Breath. The dragon exhales lightning in a 120-foot line that is 10 feet wide. Each creature in that line must make a DC 23 Dexterity saving throw taking 88 (16d10) lightning damage on a failed save or half as much damage on a successful one.
Repulsion Breath. The dragon exhales repulsion energy in a 30-foot cone. Each creature in that area must succeed on a DC 23 Strength saving throw. On a failed save the creature is pushed 60 feet away from the dragon.",,,17,11
"The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice).
In a new form the dragon retains its alignment hit points Hit Dice ability to speak proficiencies Legendary Resistance lair actions and Intelligence Wisdom and Charisma scores as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form except any class features or legendary actions of that form.",,,17,17
The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,18,1
Melee Weapon Attack: +15 to hit reach 15 ft. one target. Hit: 19 (2d10 + 8) piercing damage.,Piercing,2d10+8,18,6
Melee Weapon Attack: +15 to hit reach 10 ft. one target. Hit: 15 (2d6 + 8) slashing damage.,Slashing,2d6+8,18,7
Melee Weapon Attack: +15 to hit reach 20 ft. one target. Hit: 17 (2d8 + 8) bludgeoning damage.,Bludgeoning,2d8+8,18,3
Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it the creature is immune to the dragon's Frightful Presence for the next 24 hours.,,,18,8
"The dragon uses one of the following breath weapons.
Acid Breath. The dragon exhales acid in an 90-foot line that is 10 feet wide. Each creature in that line must make a DC 22 Dexterity saving throw taking 63 (14d8) acid damage on a failed save or half as much damage on a successful one.
Slowing Breath. The dragon exhales gas in a 90-foot cone. Each creature in that area must succeed on a DC 22 Constitution saving throw. On a failed save the creature can't use reactions its speed is halved and it can't make more than one attack on its turn. In addition the creature can use either an action or a bonus action on its turn but not both. These effects last for 1 minute. The creature can repeat the saving throw at the end of each of its turns ending the effect on itself with a successful save.",,,18,11
"The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice).
In a new form the dragon retains its alignment hit points Hit Dice ability to speak proficiencies Legendary Resistance lair actions and Intelligence Wisdom and Charisma scores as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form except any class features or legendary actions of that form.",,,18,17
The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,19,1
Melee Weapon Attack: +17 to hit reach 15 ft. one target. Hit: 21 (2d10 + 10) piercing damage.,Piercing,2d10+10,19,6
Melee Weapon Attack: +17 to hit reach 10 ft. one target. Hit: 17 (2d6 + 10) slashing damage.,Slashing,2d6+10,19,7
Melee Weapon Attack: +17 to hit reach 20 ft. one target. Hit: 19 (2d8 + 10) bludgeoning damage.,Bludgeoning,2d8+10,19,3
Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 24 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it the creature is immune to the dragon's Frightful Presence for the next 24 hours.,,,19,8
"The dragon uses one of the following breath weapons.
Fire Breath. The dragon exhales fire in a 90-foot cone. Each creature in that area must make a DC 24 Dexterity saving throw taking 71 (13d10) fire damage on a failed save or half as much damage on a successful one.
Weakening Breath. The dragon exhales gas in a 90-foot cone. Each creature in that area must succeed on a DC 24 Strength saving throw or have disadvantage on Strength-based attack rolls Strength checks and Strength saving throws for 1 minute. A creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success.",,,19,11
"The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice).
In a new form the dragon retains its alignment hit points Hit Dice ability to speak proficiencies Legendary Resistance lair actions and Intelligence Wisdom and Charisma scores as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form except any class features or legendary actions of that form.",,,19,17
The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,20,1
Melee Weapon Attack: +15 to hit reach 15 ft. one target. Hit: 19 (2d10 + 8) piercing damage plus 10 (3d6) poison damage.,Piercing,2d10+8,20,6
Melee Weapon Attack: +15 to hit reach 15 ft. one target. Hit: 19 (2d10 + 8) piercing damage plus 10 (3d6) poison damage.,Poison,3d6,20,6
Melee Weapon Attack: +15 to hit reach 10 ft. one target. Hit: 22 (4d6 + 8) slashing damage.,Slashing,4d6+8,20,7
Melee Weapon Attack: +15 to hit reach 20 ft. one target. Hit: 17 (2d8 + 8) bludgeoning damage.,Bludgeoning,2d8+8,20,3
Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it the creature is immune to the dragon's Frightful Presence for the next 24 hours.,,,20,8
The dragon exhales poisonous gas in a 90-foot cone. Each creature in that area must make a DC 22 Constitution saving throw taking 77 (22d6) poison damage on a failed save or half as much damage on a successful one.,Poison,22d6,20,12
The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,21,1
Melee Weapon Attack: +17 to hit reach 15 ft. one target. Hit: 21 (2d10 + 10) piercing damage plus 14 (4d6) fire damage.,Bludgeoning,2d10+10,21,6
Melee Weapon Attack: +17 to hit reach 15 ft. one target. Hit: 21 (2d10 + 10) piercing damage plus 14 (4d6) fire damage.,Fire,4d6,21,6
Melee Weapon Attack: +17 to hit reach 10 ft. one target. Hit: 17 (2d6 + 10) slashing damage.,Slashing,2d6+10,21,7
Melee Weapon Attack: +17 to hit reach 20 ft. one target. Hit: 19 (2d8 + 10) bludgeoning damage.,Bludgeoning,2d8+10,21,3
Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 21 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it the creature is immune to the dragon's Frightful Presence for the next 24 hours.,,,21,8
The dragon exhales fire in a 90-foot cone. Each creature in that area must make a DC 24 Dexterity saving throw taking 91 (26d6) fire damage on a failed save or half as much damage on a successful one.,Fire,26d6,21,13
The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,22,1
Melee Weapon Attack: +17 to hit reach 15 ft. one target. Hit: 21 (2d10 + 10) piercing damage.,Piercing,2d10+10,22,6
Melee Weapon Attack: +17 to hit reach 10 ft. one target. Hit: 17 (2d6 + 10) slashing damage.,Slashing,2d6+10,22,7
Melee Weapon Attack: +17 to hit reach 20 ft. one target. Hit: 19 (2d8 + 10) bludgeoning damage.,Bludgeoning,2d8+10,22,3
Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 21 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it the creature is immune to the dragon's Frightful Presence for the next 24 hours.,,,22,8
"The dragon uses one of the following breath weapons.
Cold Breath. The dragon exhales an icy blast in a 90-foot cone. Each creature in that area must make a DC 24 Constitution saving throw taking 67 (15d8) cold damage on a failed save or half as much damage on a successful one.
Paralyzing Breath. The dragon exhales paralyzing gas in a 90- foot cone. Each creature in that area must succeed on a DC 24 Constitution saving throw or be paralyzed for 1 minute. A creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success.",,,22,11
"The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice).
In a new form the dragon retains its alignment hit points Hit Dice ability to speak proficiencies Legendary Resistance lair actions and Intelligence Wisdom and Charisma scores as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form except any class features or legendary actions of that form.",,,22,17
The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,23,1
Melee Weapon Attack: +14 to hit reach 15 ft. one target. Hit: 19 (2d10 + 8) piercing damage plus 9 (2d8) cold damage.,Piercing,2d10+8,23,6
Melee Weapon Attack: +14 to hit reach 15 ft. one target. Hit: 19 (2d10 + 8) piercing damage plus 9 (2d8) cold damage.,Cold,2d8,23,6
